Purchase Order,Invoice No,Vendor,Supplier,Product,Variant,Product Type,SKU,Barcode,Shopify ID,Supplier Code,ASIN,Vendor Code,Text 2,Text 3,Status,PO Date,Confirmed Date,Expected Date,Ship Date,Cancel Date,Received at,Retail Price,Stock,Ordered,Quantity,Cost,Total Cost,Cost (Supplier Currency),Total Cost (Supplier Currency),Total Retail,Shipping Company Name,Shipping Address 1,Shipping Address 2,Shipping City,Shipping State / Province,Shipping Zip / Postcode,Shipping Country
21870,,Al-Malaika for Manufacturing Textiles S.A.E.,,FEATHER STITCH BEDDING,Pillow Case / Queen/Single (75cm x 50cm) / beige,Bedding,FTH-QSLPC-12,7E+12,3.09853E+11,,,,,,not delivered,04/03/2025,12/03/2025,09/04/2025,,,,"55,00",2,8,2,"16,00","32,00",,,"110,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21870,,Al-Malaika for Manufacturing Textiles S.A.E.,,ZIG ZAG NAPKIN,green,Napkin,ZZ-NP-19,7E+12,4.37405E+13,,,,,,not delivered,04/03/2025,12/03/2025,09/04/2025,,,,"25,00",4,28,28,"6,00","168,00",,,"700,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21870,,Al-Malaika for Manufacturing Textiles S.A.E.,,RANIA (DRAGONFLY) BEDDING,Pillow Case / Large Square (80cm x 80cm) / white,Bedding,RN-SQPCXL-00,7E+12,1.3151E+13,,,,,,not delivered,04/03/2025,12/03/2025,09/04/2025,,,,"72,00",0,2,2,"21,00","42,00",,,"144,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21870,,Al-Malaika for Manufacturing Textiles S.A.E.,,IBIS NAPKIN,Default Title,Napkin,IB-NP,7E+12,4.37289E+13,,,,,,not delivered,04/03/2025,12/03/2025,09/04/2025,,,,"22,00",22,7,7,"9,00","63,00",,,"154,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21870,,Al-Malaika for Manufacturing Textiles S.A.E.,,HOOPOE NAPKIN,Default Title,Napkin,HOP-NP,7E+12,4.3729E+13,,,,,,not delivered,04/03/2025,12/03/2025,09/04/2025,,,,"22,00",27,4,4,"9,00","36,00",,,"88,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21870,,Al-Malaika for Manufacturing Textiles S.A.E.,,PALM TREE BEDDING,Duvet Cover / Queen F (240cm x 220cm) / white,Bedding,PL-QDF-00,7E+12,3.14152E+11,,,,,,not delivered,04/03/2025,12/03/2025,09/04/2025,,,,"360,00",0,1,1,"90,00","90,00",,,"360,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21870,,Al-Malaika for Manufacturing Textiles S.A.E.,,PALM TREE BEDDING,Pillow Case / Small Queen / Single G (60cm x 40cm) / white,Bedding,PL-SQSLPCG-00,7E+12,4.43823E+13,,,,,,not delivered,04/03/2025,12/03/2025,09/04/2025,,,,"57,00",-2,2,2,"16,00","32,00",,,"114,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21873,,Al-Malaika for Manufacturing Textiles S.A.E.,,SINAI PIPED BEDDING,Pillow Case / Queen/Single G (40cm x 80cm) / beige,Bedding,PP-QSLPCG-12,7E+12,1.23014E+13,,,,,,not delivered,16/03/2025,16/03/2025,13/04/2025,,,,"38,00",0,4,4,"12,00","48,00",,,"152,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21873,,Al-Malaika for Manufacturing Textiles S.A.E.,,PALM TREE TABLECLOTH,amber / beige,Tablecloth,PL-TBC-05-12,7E+12,3.93051E+13,,,,,,not delivered,16/03/2025,16/03/2025,13/04/2025,,,,"435,00",1,1,1,"136,00","136,00",,,"435,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
21874,,Al-Malaika for Manufacturing Textiles S.A.E.,,TERRYCLOTH TOWELS,Bath Towel (100cm x 180cm) / white,Towel,BTHTW-00,7E+12,3.68296E+11,,,,,,not delivered,17/03/2025,17/03/2025,14/04/2025,,,,"53,00",8,2,2,"16,00","32,00",,,"106,00",Berlin,Dubrowstraße 29,,Berlin,,14129,Germany
